,City,Population Density,Population,Working Age Population ,Youth Dependency Ratio,Unemployment Rate,GDP per Capita,Days of very strong heat stress,Main Spoken Languages,Average Monthly Salary,Average Rent Price,Average Cost of Living,Last Data Update,CityName,Country,Latitude,Longitude
1,"Vienna, Austria",310,2983513,2018818,20.1,10.2,55770.0,3,"German, English, Turkish, Serbian",2500,1050,2061,2024-06-15,Vienna,Austria,48.208333333333336,16.3725
2,"Salzburg, Austria",243,375489,250472,20.3,3.0,66689.0,0,German,3200,1100,2186,2023-11-03,Salzburg,Austria,47.8,13.045
3,"Brussels, Belgium",681,3284548,2137425,27.5,10.7,62500.0,3,"French, Dutch, Arabic, English",3350,1200,1900,2023-04-22,Brussels,Belgium,50.84666666666667,4.3525
4,"Antwerp, Belgium",928,1139663,723396,27.7,6.2,57595.0,3,"Dutch, French, Arabic",2609,900,1953,2024-08-09,Antwerp,Belgium,51.217777777777776,4.400277777777778
5,"Gent, Belgium",552,645813,417832,24.8,4.586,53311.0,2,"Dutch, French",2400,827,1200,2023-07-17,Gent,Belgium,51.05361111111111,3.725277777777778
6,"Bruges, Belgium",840,119765,74600,25.62,5.6,63083.0,0,"Dutch, French",2700,1250,1708,2023-10-25,Bruges,Belgium,51.20888888888889,3.2241666666666666
7,"Sofia, Bulgaria",272,1553106,1043522,21.4,2.3,43563.0,0,"Bulgarian, English, Turkish",1300,450,1100,2024-02-11,Sofia,Bulgaria,42.7,23.333333333333332
8,"Dobrich, Bulgaria",640,73895,46359,22.84,4.6,10089.92,0,"Bulgarian, Turkish",1200,400,1100,2023-12-30,Dobrich,Bulgaria,43.56666666666667,27.833333333333332
9,"Zurich, Switzerland",1058,1384728,939270,22.3,4.7,80431.0,4,"German, English",6636,3190,4862,2023-05-06,Zurich,Switzerland,47.37444444444444,8.54111111111111
10,"Geneva, Switzerland",1112,597269,404312,23.8,9.9,83747.0,1,"French, English",5794,2818,4263,2024-09-28,Geneva,Switzerland,46.20166666666667,6.146944444444445
11,"Basel, Switzerland",793,550152,358020,21.5,5.3,94826.0,5,"German, English, French",6366,2500,4239,2023-01-19,Basel,Switzerland,47.55472222222222,7.5905555555555555
12,"Lefkosia, Cyprus",130,356400,237000,23.06,9.6,34907.0,45,"Greek, Turkish, English",1486,700,1350,2024-04-08,Lefkosia,Cyprus,35.1725,33.365
13,"Lemesos, Cyprus",190,262238,173906,23.06,11.2,46723.93,0,"Greek, English, Russian",2500,1400,2300,2023-08-14,Lemesos,Cyprus,34.67472222222222,33.04416666666666
14,"Prague, Czechia",388,2231212,1445800,26.2,1.4,64996.0,1,"Czech, English",1860,100,1590,2024-12-05,Prague,Czechia,50.087500000000006,14.421388888888888
15,"Ostrava, Czechia",499,711860,464578,23.0,3.7,30105.0,0,Czech,1520,500,1100,2023-09-21,Ostrava,Czechia,49.83555555555556,18.2925
16,"Berlin, Germany",304,5303922,3481212,21.3,4.7,46548.0,3,"German, Turkish, Arabic, English",3200,1220,2200,2023-06-29,Berlin,Germany,52.519999999999996,13.405000000000001
18,"Hamburg, Germany",461,3315036,2181857,21.5,3.2,61058.0,0,"German, English, Turkish",3500,1100,2100,2024-07-10,Hamburg,Germany,53.55,10.0
19,"Munich, Germany",529,2907752,1955041,21.1,2.1,83965.0,1,"German, English",3540,1500,2550,2023-03-16,Munich,Germany,48.1375,11.575
20,"Cologne, Germany",1233,2002550,1335299,20.8,3.9,60310.0,3,"German, English, Turkish",3200,1030,2000,2024-11-23,Cologne,Germany,50.936388888888885,6.952777777777778
21,"Frankfurt am Main, Germany",631,2710501,1791435,22.0,3.2,69372.0,6,"German, English",3800,1300,2350,2023-02-04,Frankfurt am Main,Germany,50.11055555555556,8.682222222222222
22,"Stuttgart, Germany",763,2787449,1843613,21.2,2.5,67644.0,3,"German, Turkish",3300,1300,2300,2024-05-19,Stuttgart,Germany,48.777499999999996,9.18
23,"Leipzig, Germany",263,1043613,662617,21.4,4.3,41097.0,3,German,2800,800,1600,2023-07-30,Leipzig,Germany,51.34,12.375
24,"Dresden, Germany",231,1343213,818095,23.0,3.8,39767.0,0,German,3050,800,1530,2023-08-01,Dresden,Germany,51.05,13.739999999999998
25,"Dusseldorf, Germany",1295,1554077,989582,21.4,3.3,71238.0,3,"German, English",3200,1100,2050,2024-01-15,Dusseldorf,Germany,51.22555555555556,6.776666666666666
26,"Hanover, Germany",444,1316467,854349,21.0,4.0,54827.0,2,German,2800,900,1800,2023-10-07,Hanover,Germany,52.36666666666667,9.716666666666667
27,"Copenhagen, Denmark",598,1933919,1280970,25.4,6.5,63540.0,0,"Danish, English",4200,2100,2750,2024-03-26,Copenhagen,Denmark,55.67611111111111,12.568333333333333
28,"Odense, Denmark",160,382711,245174,24.7,9.5,40304.0,0,Danish,3400,1000,2100,2023-12-02,Odense,Denmark,55.395833333333336,10.38861111111111
29,"Madrid, Spain",873,6882461,4617753,23.0,10.8,51020.0,18,Spanish,2271,1100,1589,2023-05-14,Madrid,Spain,40.5,-3.6666666666666665
30,"Barcelona, Spain",1918,5034925,3331345,22.6,11.0,45016.0,0,"Spanish, Catalan",2094,1450,1630,2024-10-18,Barcelona,Spain,41.38333333333333,2.183333333333333
31,"Valencia, Spain",536,1748142,1162828,22.6,13.7,33570.0,5,Spanish;Valencian,2400,1190,1300,2023-06-04,Valencia,Spain,39.47,-0.3763888888888889
32,"Seville, Spain",330,1549641,1037225,25.0,21.6,30004.0,53,Spanish,2300,650,1150,2024-09-01,Seville,Spain,37.39,-5.99
33,"Malaga, Spain",571,869096,585608,23.5,17.7,27694.0,0,"Spanish, English",2200,1312,1400,2023-11-27,Malaga,Spain,36.71944444444445,-4.42
35,"Tallinn, Estonia",2468,390860,253977,26.9,3.5,49329.0,0,"Estonian, Russian, English",1700,700,1600,2023-08-23,Tallinn,Estonia,59.43722222222222,24.74527777777778
36,"Helsinki, Finland",322,1507140,1004835,25.1,6.6,59502.0,0,"Finnish, Swedish, English",3900,1050,2050,2023-09-12,Helsinki,Finland,60.170833333333334,24.9375
37,"Tampere, Finland",65,444370,283875,25.6,6.6,41954.0,0,Finnish,3500,850,1600,2024-04-29,Tampere,Finland,61.49805555555556,23.76
38,"Paris, France",20976,2110000,1336000,27.31,8.1,65630.0,3,"French,   Arabic, English",3300,1450,2400,2024-08-22,Paris,France,48.85666666666667,2.352222222222222
39,"Lyon, France",10912,520774,365824,27.31,6.9,46226.0,11,French,2300,1200,1800,2023-03-31,Lyon,France,45.7675,4.835
40,"Toulouse, France",4300,511684,401425,27.31,8.5,46226.0,14,French,2600,800,1600,2024-02-20,Toulouse,France,43.60444444444445,1.443888888888889
41,"London, United Kingdom",1777,12396541,8274793,29.1,6.1,69863.0,0,"English, Urdu, Bengali, Polish",2750,1900,2800,2023-04-09,London,United Kingdom,51.507222222222225,-0.1275
42,"Leeds, United Kingdom",517,2641062,1677791,30.0,3.5,37990.0,0,"English, Urdu",2300,1000,2000,2024-11-03,Leeds,United Kingdom,53.7975,-1.543611111111111
43,"Glasgow, United Kingdom",548,1845020,1229657,24.2,4.8,39666.0,0,"English, Scots",2300,1050,1950,2023-05-28,Glasgow,United Kingdom,55.861111111111114,-4.25
44,"Liverpool, United Kingdom",1560,1544216,983056,26.8,7.5,33749.0,0,English,2250,950,1800,2024-01-23,Liverpool,United Kingdom,53.407222222222224,-2.9916666666666667
45,"Edinburgh, United Kingdom",527,907580,614959,23.4,3.7,54002.0,0,"English, Scots Gaelic",2500,1010,2050,2023-08-15,Edinburgh,United Kingdom,55.95333333333333,-3.1891666666666665
46,"Athens, Greece",1829,3530371,2287174,22.0,17.2,38580.0,17,"Greek, English",1050,600,1200,2024-07-16,Athens,Greece,37.98416666666667,23.728055555555553
47,"Thessaloniki, Greece",381,1050568,684564,22.2,19.9,23940.0,10,Greek,1000,550,1100,2023-12-21,Thessaloniki,Greece,40.640277777777776,22.935555555555556
48,"Zagreb, Croatia",240,1217131,800501,22.7,2.7,38664.0,4,Croatian,1570,700,1330,2023-10-14,Zagreb,Croatia,45.81305555555555,15.977500000000001
49,"Split, Croatia",120,354264,230745,22.9,6.5,21560.0,1,Croatian,1500,600,1250,2023-09-30,Split,Croatia,43.51,16.44
50,"Budapest, Hungary",469,2997506,1980550,22.4,2.4,49130.0,0,"Hungarian, English",1100,650,1080,2024-06-06,Budapest,Hungary,47.4925,19.05138888888889
51,"Miskolc, Hungary",171,283319,186102,24.1,4.4,21805.0,3,Hungarian,1000,500,900,2023-11-18,Miskolc,Hungary,48.10416666666667,20.791666666666668
52,"Debrecen, Hungary",163,328409,219758,22.4,4.5,22648.0,7,Hungarian,1000,450,949,2024-08-31,Debrecen,Hungary,47.531666666666666,21.624444444444446
53,"Dublin, Ireland",283,1971242,1327170,29.8,4.6,101483.0,0,"English, Irish Gaelic",2900,1600,2700,2023-07-22,Dublin,Ireland,53.35,-6.260277777777778
